,device,target,class_name,conf_branch_1,correct_branch_1,delta_inf_time_branch_1,cum_inf_time_branch_1,prediction_branch_1,conf_branch_2,correct_branch_2,delta_inf_time_branch_2,cum_inf_time_branch_2,prediction_branch_2
0,cpu,3,cat,0.8813928365707397,1,0.02984452247619629,0.02984452247619629,3,0.9375937581062317,1,0.015497207641601562,0.04534173011779785,3
1,cpu,8,ship,0.9656881093978882,1,0.012400150299072266,0.012400150299072266,8,0.9970320463180542,1,0.008850574493408203,0.02125072479248047,8
2,cpu,8,ship,0.6403818130493164,1,0.012669563293457031,0.012669563293457031,8,0.8179915547370911,1,0.009214162826538086,0.021883726119995117,8
3,cpu,0,airplane,0.9072039127349854,0,0.013208866119384766,0.013208866119384766,8,0.4817019999027252,0,0.009187459945678711,0.022396326065063477,8
4,cpu,6,frog,0.9706447720527649,1,0.011822700500488281,0.011822700500488281,6,0.9826221466064453,1,0.008372068405151367,0.02019476890563965,6
5,cpu,6,frog,0.9693965315818787,1,0.01194906234741211,0.01194906234741211,6,0.999947190284729,1,0.008098602294921875,0.020047664642333984,6
6,cpu,1,automobile,0.9243403673171997,1,0.01197361946105957,0.01197361946105957,1,0.4671381413936615,1,0.00860738754272461,0.02058100700378418,1
7,cpu,6,frog,0.7417142987251282,1,0.0121917724609375,0.0121917724609375,6,0.9875965118408203,1,0.009527921676635742,0.021719694137573242,6
8,cpu,3,cat,0.5395597815513611,1,0.012654542922973633,0.012654542922973633,3,0.9482147097587585,1,0.00907135009765625,0.021725893020629883,3
9,cpu,1,automobile,0.6400175094604492,0,0.012183427810668945,0.012183427810668945,9,0.9093340039253235,0,0.009020566940307617,0.021203994750976562,9
10,cpu,0,airplane,0.9648182988166809,1,0.011814355850219727,0.011814355850219727,0,0.9862122535705566,1,0.009084701538085938,0.020899057388305664,0
11,cpu,9,truck,0.9511869549751282,1,0.013869047164916992,0.013869047164916992,9,0.9745854735374451,1,0.010745048522949219,0.02461409568786621,9
12,cpu,5,dog,0.6158561706542969,1,0.012848615646362305,0.012848615646362305,5,0.798951268196106,1,0.009220123291015625,0.02206873893737793,5
13,cpu,7,horse,0.9454465508460999,1,0.012447118759155273,0.012447118759155273,7,0.9899296164512634,1,0.009082794189453125,0.0215299129486084,7
14,cpu,9,truck,0.981467068195343,1,0.012215614318847656,0.012215614318847656,9,0.9966256618499756,1,0.009164571762084961,0.021380186080932617,9
15,cpu,8,ship,0.6757056713104248,1,0.012267589569091797,0.012267589569091797,8,0.9971638321876526,1,0.009109735488891602,0.0213773250579834,8
16,cpu,5,dog,0.9121875166893005,1,0.01295161247253418,0.01295161247253418,5,0.9697840809822083,1,0.009425640106201172,0.02237725257873535,5
17,cpu,7,horse,0.9096502065658569,1,0.012415170669555664,0.012415170669555664,7,0.9995967745780945,1,0.009247541427612305,0.02166271209716797,7
18,cpu,8,ship,0.9994780421257019,1,0.01294708251953125,0.01294708251953125,8,0.9995239973068237,1,0.009080648422241211,0.02202773094177246,8
19,cpu,6,frog,0.9860995411872864,1,0.012340307235717773,0.012340307235717773,6,0.9962957501411438,1,0.009177684783935547,0.02151799201965332,6
20,cpu,7,horse,0.8978268504142761,1,0.013034582138061523,0.013034582138061523,7,0.9534322619438171,1,0.009360551834106445,0.02239513397216797,7
21,cpu,0,airplane,0.8573622703552246,1,0.012356758117675781,0.012356758117675781,0,0.99457848072052,1,0.009226083755493164,0.021582841873168945,0
22,cpu,4,deer,0.9097076654434204,1,0.012961387634277344,0.012961387634277344,4,0.7679998874664307,1,0.0091094970703125,0.022070884704589844,4
23,cpu,9,truck,0.9895713329315186,1,0.01239323616027832,0.01239323616027832,9,0.9998708963394165,1,0.009075403213500977,0.021468639373779297,9
24,cpu,5,dog,0.6190140843391418,0,0.01297140121459961,0.01297140121459961,4,0.6691285371780396,0,0.009360551834106445,0.022331953048706055,4
25,cpu,2,bird,0.815495491027832,1,0.01238703727722168,0.01238703727722168,2,0.9553810954093933,1,0.00932621955871582,0.0217132568359375,2
26,cpu,4,deer,0.9201498031616211,1,0.012201070785522461,0.012201070785522461,4,0.9866998195648193,1,0.00886678695678711,0.02106785774230957,4
